struct,subject,feature,family,cov,n_raters
ut,D1-000,shape_aniso,shape,0.10146250105766413,3
ut,D1-000,shape_aspect_yx,shape,0.057308240689243284,3
ut,D1-000,shape_aspect_zx,shape,0.26736004068345576,3
ut,D1-000,shape_elong_21,shape,0.050006162942540976,3
ut,D1-000,shape_elong_31,shape,0.3570013442132142,3
ut,D1-000,shape_flatness,shape,0.35660761238956723,3
ut,D1-000,shape_sa_vol_norm,shape,0.015713878002722576,3
ut,D1-000,shape_sphericity,shape,0.0156178777219291,3
ut,D1-000,size_area_mm2,size,0.16461002881728845,3
ut,D1-000,size_bbox_diag,size,0.054896749918795396,3
ut,D1-000,size_bbox_x,size,0.021016374549338197,3
ut,D1-000,size_bbox_y,size,0.07405427115940523,3
ut,D1-000,size_bbox_z,size,0.28112534661148936,3
ut,D1-000,size_centroid,size,0.03513864007257778,3
ut,D1-000,size_volume_mm3,size,0.22037045561547497,3
ut,D1-001,shape_aniso,shape,0.20304316867036057,3
ut,D1-001,shape_aspect_yx,shape,0.03956779818546985,3
ut,D1-001,shape_aspect_zx,shape,0.24591062250896506,3
ut,D1-001,shape_elong_21,shape,0.21402758522106685,3
ut,D1-001,shape_elong_31,shape,0.26069181196554414,3
ut,D1-001,shape_flatness,shape,0.0638019248284682,3
ut,D1-001,shape_sa_vol_norm,shape,0.09483730578160908,3
ut,D1-001,shape_sphericity,shape,0.09104739378385962,3
ut,D1-001,size_area_mm2,size,0.1569493152148723,3
ut,D1-001,size_bbox_diag,size,0.060551437527654524,3
ut,D1-001,size_bbox_x,size,0.04144843398371979,3
ut,D1-001,size_bbox_y,size,0.00756946597926594,3
ut,D1-001,size_bbox_z,size,0.2525137254904752,3
ut,D1-001,size_centroid,size,0.04797207552494751,3
ut,D1-001,size_volume_mm3,size,0.18584742674382548,3
ut,D1-002,shape_aniso,shape,0.1181859601369028,3
ut,D1-002,shape_aspect_yx,shape,0.02874658810231025,3
ut,D1-002,shape_aspect_zx,shape,0.06311085282193091,3
ut,D1-002,shape_elong_21,shape,0.09501134852785341,3
ut,D1-002,shape_elong_31,shape,0.11293970830645832,3
ut,D1-002,shape_flatness,shape,0.04273080808186818,3
ut,D1-002,shape_sa_vol_norm,shape,0.1622421683356212,3
ut,D1-002,shape_sphericity,shape,0.1506059396640286,3
ut,D1-002,size_area_mm2,size,0.16285898818362762,3
ut,D1-002,size_bbox_diag,size,0.03984338497670306,3
ut,D1-002,size_bbox_x,size,0.03789515200240152,3
ut,D1-002,size_bbox_y,size,0.06556527827235899,3
ut,D1-002,size_bbox_z,size,0.050899179943626846,3
ut,D1-002,size_centroid,size,0.05750763448947633,3
ut,D1-002,size_volume_mm3,size,0.15887600294980472,3
ut,D1-003,shape_aniso,shape,0.1123408290763506,3
ut,D1-003,shape_aspect_yx,shape,0.04917103954243371,3
ut,D1-003,shape_aspect_zx,shape,0.11117975803568036,3
ut,D1-003,shape_elong_21,shape,0.21637318552833038,3
ut,D1-003,shape_elong_31,shape,0.22124304210606116,3
ut,D1-003,shape_flatness,shape,0.007122947882093612,3
ut,D1-003,shape_sa_vol_norm,shape,0.09792537875431077,3
ut,D1-003,shape_sphericity,shape,0.0944060143733683,3
ut,D1-003,size_area_mm2,size,0.18515926695989476,3
ut,D1-003,size_bbox_diag,size,0.10358112880350874,3
ut,D1-003,size_bbox_x,size,0.11318910114096861,3
ut,D1-003,size_bbox_y,size,0.14193453639949374,3
ut,D1-003,size_bbox_z,size,0.0922943304495135,3
ut,D1-003,size_centroid,size,0.07731173375539137,3
ut,D1-003,size_volume_mm3,size,0.14231451178320895,3
ut,D1-004,shape_aniso,shape,0.07456518963895334,3
ut,D1-004,shape_aspect_yx,shape,0.04462586396688049,3
ut,D1-004,shape_aspect_zx,shape,0.08163638017814816,3
ut,D1-004,shape_elong_21,shape,0.43371183058931717,3
ut,D1-004,shape_elong_31,shape,0.28695426137990415,3
ut,D1-004,shape_flatness,shape,0.5103319209431386,3
ut,D1-004,shape_sa_vol_norm,shape,0.029184502561331618,3
ut,D1-004,shape_sphericity,shape,0.028912922155332234,3
ut,D1-004,size_area_mm2,size,0.40708106704821395,3
ut,D1-004,size_bbox_diag,size,0.20192001533924453,3
ut,D1-004,size_bbox_x,size,0.19894603306635922,3
ut,D1-004,size_bbox_y,size,0.23357380187870821,3
ut,D1-004,size_bbox_z,size,0.16705982961714266,3
ut,D1-004,size_centroid,size,0.219656253278108,3
ut,D1-004,size_volume_mm3,size,0.5373999812908166,3
ut,D1-006,shape_aniso,shape,0.19124456839293552,3
ut,D1-006,shape_aspect_yx,shape,0.1537073356616038,3
ut,D1-006,shape_aspect_zx,shape,0.1467495642557043,3
ut,D1-006,shape_elong_21,shape,0.3661644952101761,3
ut,D1-006,shape_elong_31,shape,0.24970085852339596,3
ut,D1-006,shape_flatness,shape,0.12386830944729996,3
ut,D1-006,shape_sa_vol_norm,shape,0.07853412833058118,3
